rai_cityadjusted_total_2019_q3, geography_name, unique_id, rai_cityadjusted_total_2019_q2, rai_cityadjusted_total_2019_q1, rai_cityadjusted_total_2020_q1, rai_cityadjusted_total_2019_q4, rai_cityadjusted_total_2020_q3, state, rai_cityadjusted_total_2020_q2, rai_cityadjusted_total_2021_q2, rai_cityadjusted_total_2020_q4, rai_cityadjusted_total_2021_q1, city
101.3514,"5047",921,93.75,100.0,102.2395,93.75,106.2753,"SA",100.9615,96.72962,109.1476,96.15385,"Greater Adelaide"
null,"4411",655,null,null,null,null,null,"QLD",null,null,null,null,"Rest of Qld"
null,"4517",705,null,null,null,null,null,"QLD",null,null,null,null,"Rest of Qld"
null,"4412",656,null,null,null,null,null,"QLD",null,null,null,null,"Rest of Qld"
173.5832,"4413",657,194.2523,194.93,192.0762,188.7103,179.0885,"QLD",190.4762,160.2564,166.9831,170.7907,"Rest of Qld"
227.7328,"4415",658,219.7802,206.1097,188.5434,227.4434,217.1946,"QLD",211.7149,157.1906,192.1125,177.0419,"Rest of Qld"
null,"4422",664,null,null,null,null,null,"QLD",null,null,null,null,"Rest of Qld"
null,"4424",665,null,null,null,null,null,"QLD",null,null,null,null,"Rest of Qld"
null,"4425",666,null,null,null,null,null,"QLD",null,null,null,null,"Rest of Qld"
null,"4427",667,null,null,null,null,null,"QLD",null,null,null,null,"Rest of Qld"
null,"4428",668,null,null,null,null,null,"QLD",null,null,null,null,"Rest of Qld"
null,"4454",669,null,null,null,null,null,"QLD",null,null,null,null,"Rest of Qld"
null,"4455",670,null,null,null,null,null,"QLD",null,null,null,null,"Rest of Qld"
null,"4462",671,null,null,null,null,null,"QLD",null,null,null,null,"Rest of Qld"
null,"4465",672,null,null,null,null,null,"QLD",null,null,null,null,"Rest of Qld"
104.1064,"4518",706,105.6757,106.2535,107.196,108.2098,106.8376,"QLD",null,87.49544,102.28,92.30769,"Rest of Qld"
122.413,"4519",707,116.6638,116.2621,112.0807,116.2017,112.9607,"QLD",114.3043,103.1851,107.5904,107.0297,"Rest of Qld"
84.75202,"4520",708,87.83008,79.29624,88.3995,86.31714,73.15821,"QLD",75.25084,73.7993,76.41365,81.74479,"Greater Brisbane"
null,"4521",709,105.1763,null,106.0556,null,null,"QLD",null,102.3835,98.9011,104.368,"Greater Brisbane"
null,"4468",673,null,null,null,null,null,"QLD",null,null,null,null,"Rest of Qld"
null,"4470",674,null,null,null,null,null,"QLD",null,null,null,null,"Rest of Qld"
null,"4472",675,null,null,null,null,null,"QLD",null,null,null,null,"Rest of Qld"
null,"4477",676,null,null,null,null,null,"QLD",null,null,null,null,"Rest of Qld"
null,"4478",677,null,null,null,null,null,"QLD",null,null,null,null,"Rest of Qld"
null,"4480",678,null,null,null,null,null,"QLD",null,null,null,null,"Rest of Qld"
null,"4481",679,null,null,null,null,null,"QLD",null,null,null,null,"Rest of Qld"
119.0476,"5012",892,117.1875,117.1875,126.2019,117.1875,118.7783,"SA",126.2019,139.2573,115.3846,122.3776,"Greater Adelaide"
null,"4486",680,null,null,null,null,null,"QLD",null,null,null,null,"Rest of Qld"
null,"4487",681,null,null,null,null,null,"QLD",null,null,null,null,"Rest of Qld"
null,"4488",682,null,null,null,null,null,"QLD",null,null,null,null,"Rest of Qld"
null,"4571",731,null,null,null,null,null,"QLD",null,null,null,null,"Rest of Qld"
null,"4490",683,null,null,null,null,null,"QLD",null,null,null,null,"Rest of Qld"
null,"4492",684,null,null,null,null,null,"QLD",null,null,null,null,"Rest of Qld"
null,"4494",685,null,null,null,null,null,"QLD",null,null,null,null,"Rest of Qld"
null,"4496",686,null,null,200.6689,null,null,"QLD",null,null,null,null,"Rest of Qld"
null,"4497",687,null,null,null,null,null,"QLD",null,null,null,null,"Rest of Qld"
null,"4498",688,null,null,null,null,null,"QLD",null,null,null,null,"Rest of Qld"
127.8663,"4500",689,128.8567,126.6126,135.319,133.8675,135.4245,"QLD",134.923,127.7656,133.6006,127.8981,"Greater Brisbane"
134.0154,"4501",690,137.5875,142.1043,151.2755,152.7405,146.9012,"QLD",156.4279,137.0906,143.8423,143.3971,"Greater Brisbane"
163.1839,"4701",772,169.5576,168.7954,158.2669,164.2134,155.2337,"QLD",167.4871,141.9153,151.4429,141.002,"Rest of Qld"
151.0115,"4702",773,153.0628,159.598,145.7427,146.8876,131.1311,"QLD",140.9923,117.5664,124.1883,120.042,"Rest of Qld"
130.8737,"4703",774,135.0106,136.269,131.5417,127.2801,127.0668,"QLD",129.1809,112.2163,116.219,121.2555,"Rest of Qld"
129.1225,"4502",691,131.4998,129.9715,140.4845,136.2276,137.5553,"QLD",139.2078,131.1288,140.1997,133.7523,"Greater Brisbane"
135.292,"4503",692,133.8643,134.9791,143.4838,144.4891,140.2497,"QLD",142.474,136.6206,139.7195,137.5462,"Greater Brisbane"
121.5685,"4504",693,117.8558,119.8403,123.0068,127.3934,124.4818,"QLD",125.7085,121.4291,124.05,118.9823,"Greater Brisbane"
